Episode,Steps,Winner,Active_Side,Black_Reward,White_Reward,Actor_Loss_Black,Critic_Loss_Black,Actor_Loss_White,Critic_Loss_White,Entropy_Black,Entropy_White
1,5,white,Black,-1.015,0.99,-0.54452,0.5621094,0.0,0.0,2.592871,0.0
2,6,black,Black,0.985,-1.015,-0.4804246,0.7761268,0.0,0.0,3.1791637,0.0
3,6,black,Black,0.985,-1.015,-0.9371127,0.74883175,0.0,0.0,2.5270183,0.0
4,6,black,Black,0.985,-1.015,-0.63648796,0.5907872,0.0,0.0,2.9709256,0.0
5,6,black,Black,0.985,-1.015,-0.58536637,0.46013024,0.0,0.0,3.0967293,0.0
6,6,black,Black,0.985,-1.015,-0.46162063,0.23769915,0.0,0.0,3.0343342,0.0
7,6,black,Black,0.985,-1.015,-0.3242714,0.11298013,0.0,0.0,3.091781,0.0
8,6,black,Black,0.985,-1.015,-0.47079813,0.04414543,0.0,0.0,2.9333696,0.0
9,6,black,Black,0.985,-1.015,-0.8654566,0.042009026,0.0,0.0,2.5193574,0.0
10,6,black,Black,0.985,-1.015,-0.3531486,0.018448604,0.0,0.0,3.078132,0.0
11,6,black,Black,0.985,-1.015,-0.49125195,0.047704697,0.0,0.0,2.9471104,0.0
12,5,white,Black,-1.015,0.99,-0.9043234,1.5319933,0.0,0.0,2.5897133,0.0
13,6,black,Black,0.985,-1.015,-0.8591807,0.062253606,0.0,0.0,2.8786411,0.0
14,6,black,Black,0.985,-1.015,-0.27549893,0.121958815,0.0,0.0,3.0890129,0.0
15,6,black,Black,0.985,-1.015,-0.18766952,0.08520695,0.0,0.0,3.1660795,0.0
16,6,black,Black,0.985,-1.015,-0.74657273,0.0095563745,0.0,0.0,2.5770195,0.0
17,6,black,Black,0.985,-1.015,-0.7937551,0.02982468,0.0,0.0,3.2466812,0.0
18,6,black,Black,0.985,-1.015,0.23255196,0.019233085,0.0,0.0,2.7924354,0.0
19,6,black,Black,0.985,-1.015,-0.2629871,0.002438982,0.0,0.0,3.030969,0.0
20,6,black,Black,0.985,-1.015,-0.63600385,0.0013664691,0.0,0.0,3.285966,0.0
21,6,black,Black,0.985,-1.015,0.30966428,0.019002507,0.0,0.0,2.5058277,0.0
22,5,white,Black,-1.015,0.99,0.085918605,1.3613477,0.0,0.0,2.7113895,0.0
23,6,black,Black,0.985,-1.015,-0.8210112,0.031401034,0.0,0.0,3.0817165,0.0
24,6,black,Black,0.985,-1.015,-0.22438854,0.050078657,0.0,0.0,2.9708889,0.0
25,6,black,Black,0.985,-1.015,-0.07107864,0.05339979,0.0,0.0,2.9699566,0.0
26,6,black,Black,0.985,-1.015,-0.6533539,0.067096755,0.0,0.0,2.5910103,0.0
27,6,black,Black,0.985,-1.015,-0.11169399,0.043544646,0.0,0.0,2.7305586,0.0
28,6,black,Black,0.985,-1.015,-0.042321563,0.034158338,0.0,0.0,2.9648104,0.0
29,6,black,Black,0.985,-1.015,0.024059296,0.03768268,0.0,0.0,3.143897,0.0
