Episode,Steps,Winner,Active_Side,Black_Reward,White_Reward,Actor_Loss_Black,Critic_Loss_Black,Actor_Loss_White,Critic_Loss_White,Entropy_Black,Entropy_White,Black_Self_Dying_Count,White_Self_Dying_Count,Black_Kill_Count,White_Kill_Count,Black_Hit_Count,White_Hit_Count
1,9,white,Black,-1.025,0.98,0.14394291,0.55461234,-0.2825992,0.41364974,2.915499,2.9718442,3,1,0,0,0,0
2,5,white,Black,-1.515,1.49,-0.027596317,0.9626054,0.75907993,0.93625796,2.8313313,3.157763,3,0,0,0,0,0
3,11,white,Black,-0.53,0.475,-0.003712818,0.09435415,-0.45840228,0.05475142,2.931753,2.8513074,3,2,0,0,0,0
4,8,black,Black,0.98,-1.02,-0.04520683,0.6054703,-0.64678305,0.6746304,2.959338,2.8254042,1,3,0,0,0,0
5,8,black,Black,0.48,-0.52,-0.05429323,0.19261137,-0.04291013,0.29035896,3.0329146,2.647481,2,3,0,0,0,0
6,6,black,Black,1.485,-1.515,0.005909741,1.0977408,-0.49505323,1.2088968,3.1641123,2.718937,0,3,0,0,0,0
7,8,black,Black,0.98,-1.02,-0.12632635,0.5876474,-0.1983536,0.6846341,3.090673,2.7462385,1,3,0,0,0,0
8,5,white,Black,-1.515,1.49,-0.50955206,0.7882307,-0.11744885,0.7515413,2.8389475,3.153983,3,0,0,0,0,0
9,8,black,Black,0.98,-1.02,-0.15621513,0.57496905,0.13055201,0.72427166,2.8957355,2.6600773,1,3,0,0,0,0
10,7,white,Black,-1.02,0.985,0.1364342,0.3442669,0.06661497,0.23735237,2.6033604,2.9709733,3,1,0,0,0,0
11,5,white,Black,-0.515,0.49,0.18188454,0.088210635,-0.29527763,0.053691186,2.679746,3.0474524,3,2,0,0,0,0
12,9,white,Black,-1.025,0.98,-0.012271486,0.34961647,0.013314381,0.37123603,2.6641,2.907482,3,1,0,0,0,0
13,5,white,Black,-1.515,1.49,-0.8931689,0.73896843,-0.011010513,0.7075105,2.8197305,3.048956,3,0,0,0,0,0
14,8,black,Black,0.98,-1.02,-0.16654822,0.57502556,-0.25415415,0.7097386,3.0154078,2.8112993,1,3,0,0,0,0
15,6,black,Black,0.485,-0.515,-0.08273445,0.18004788,-0.25837743,0.3849177,2.680148,2.691974,2,3,0,0,0,0
16,14,black,Black,0.465,-0.535,-0.18557473,0.16159613,0.047178626,0.21785052,3.1294713,2.8391645,2,3,0,0,0,0
17,7,white,Black,-1.02,0.985,-0.36168537,0.23963329,0.13396125,0.19284244,2.631213,2.9775352,3,1,0,0,0,0
18,8,black,Black,0.98,-1.02,-0.52504474,0.64319813,-0.8300051,0.70750433,3.014151,2.7875621,1,3,0,0,0,0
19,17,white,Black,-0.545,0.46,0.35719326,0.14682154,-0.2519407,0.024896964,2.5859904,2.6460557,3,2,0,0,0,0
20,7,white,Black,-1.52,1.485,-0.64805156,0.69723594,0.2167963,0.58593494,2.649065,2.8617373,3,0,0,0,0,0
21,5,white,Black,-1.015,0.99,0.6271657,0.36217794,0.26856577,0.18441938,2.7812645,3.2213802,3,1,0,0,0,0
22,7,white,Black,-1.52,1.485,-0.6400822,0.7188496,-0.21934012,0.590392,2.8140357,3.1086085,3,0,0,0,0,0
23,10,black,Black,0.475,-0.525,-0.046548493,0.22753878,0.28436798,0.2649667,2.8716369,2.8364363,2,3,0,0,0,0
24,13,white,Black,-0.535,0.47,0.37615013,0.05451056,-0.1879722,0.030558055,2.739736,2.9075782,3,2,0,0,0,0
25,7,white,Black,-1.02,0.985,-0.16791493,0.2615537,-0.48605734,0.1354146,2.4666362,2.8779728,3,1,0,0,0,0
26,7,white,Black,-1.02,0.985,-0.79991704,0.2566165,0.0983268,0.2430472,2.8179812,2.9963624,3,1,0,0,0,0
27,7,white,Black,-1.02,0.985,0.79983366,0.27676383,-0.22139934,0.20270388,2.8535576,3.0562685,3,1,0,0,0,0
28,8,black,Black,0.98,-1.02,-0.006177649,0.60679704,-0.62489045,0.6355343,3.0739353,2.8628569,1,3,0,0,0,0
29,11,white,Black,-0.53,0.475,-0.26460886,0.07839861,-0.29821396,0.020740896,2.6600003,2.7221408,3,2,0,0,0,0
