Episode,Steps,Winner,Active_Side,Black_Reward,White_Reward,Actor_Loss_Black,Critic_Loss_Black,Actor_Loss_White,Critic_Loss_White,Entropy_Black,Entropy_White,Black_Self_Dying_Count,White_Self_Dying_Count,Black_Kill_Count,White_Kill_Count,Black_Hit_Count,White_Hit_Count,White_Correct_Aim_Count,Black_Correct_Aim_Count
1,6,black,Black,2.056752,-2.9187717,-0.7379306,1.2192553,0.12388309,1.9183892,0.0,0.0,0,3,0,0,0,1,3,1
2,6,black,Black,0.95760393,-2.85358,0.6382587,0.31103328,-0.34414563,1.6282779,0.0,0.0,1,3,0,0,0,0,1,0
3,6,black,Black,2.060309,-3.4245152,0.2723721,1.0729314,-0.7896982,2.1711886,0.0,0.0,0,3,0,0,0,0,3,0
4,6,black,Black,1.015662,-3.002987,-0.66402316,0.10920029,0.20220542,1.6599492,0.0,0.0,1,3,0,0,0,0,2,0
5,6,black,Black,1.9866539,-3.3792434,0.39654016,0.8394453,-0.16223948,1.9407066,0.0,0.0,0,3,0,0,0,0,2,0
6,6,black,Black,2.076955,-3.416142,0.18956216,0.8461628,-2.257081,1.9609894,0.0,0.0,0,3,0,0,0,0,3,0
7,6,black,Black,1.9796305,-3.4881682,0.29146394,0.69412977,-0.47570515,1.952411,0.0,0.0,0,3,0,0,0,0,1,0
8,6,black,Black,1.0194322,-2.909931,-0.22231276,0.09609633,-0.6904747,1.2775201,0.0,0.0,1,3,0,0,0,0,2,0
9,6,black,Black,2.0750546,-3.4467921,-2.9587774,0.60861915,-1.1570648,1.7927839,0.0,0.0,0,3,0,0,0,0,3,0
10,6,black,Black,2.1645818,-3.142633,0.10990906,0.56012124,0.20822167,1.4653049,0.0,0.0,0,3,0,0,1,0,3,0
11,6,black,Black,0.9245089,-2.9489121,-0.35989523,0.026616758,-0.22456758,1.1020528,0.0,0.0,1,3,0,0,0,0,1,0
12,6,black,Black,2.0777168,-3.4875548,-0.31833816,0.38799742,-0.03702116,1.6578652,0.0,0.0,0,3,0,0,0,0,3,0
13,6,black,Black,1.0610896,-2.850502,-0.21404617,0.027694764,-0.21866305,0.95601696,0.0,0.0,1,3,0,0,0,0,3,0
14,6,black,Black,2.070834,-3.4732547,0.22386329,0.31044576,-0.9530185,1.5002521,0.0,0.0,0,3,0,0,0,0,3,0
15,6,black,Black,0.9645692,-2.7999668,0.07536379,0.09014366,-0.25673476,0.7669714,0.0,0.0,1,3,0,0,0,0,1,0
16,6,black,Black,1.0281187,-2.9201388,-0.12375323,0.074741155,-0.052018482,0.76219267,0.0,0.0,1,3,0,0,0,0,2,0
17,6,black,Black,2.0495062,-3.4366915,-0.0048589706,0.19755216,-0.78865093,1.1887956,0.0,0.0,0,3,0,0,0,0,2,0
18,6,black,Black,1.9317123,-3.1964543,-0.37360725,0.12211632,0.0064520836,0.9222493,0.0,0.0,0,3,0,0,0,0,1,0
19,6,black,Black,1.055822,-2.9597812,1.1107522,0.101164006,-0.16084735,0.7352621,0.0,0.0,1,3,0,0,0,0,3,0
20,6,black,Black,1.1285187,-3.005086,-0.26852313,0.04293154,-0.9770136,0.6876864,0.0,0.0,1,3,0,0,1,0,2,0
